"","ensembl_gene_id","ensembl_transcript_id","chromosome_name","percentage_gc_content","entrezgene","hgnc_symbol","hgnc_transcript_name","strand","band","transcript_length"
"15926","ENSG00000261530","ENST00000566356","HG706_PATCH",37.46,685,"BTC","BTC-001",-1,"q13.3",2816
"15940","ENSG00000169814","ENST00000383778","3",41.69,686,"BTD","BTD-201",1,"p25.1",2138
"15945","ENSG00000145741","ENST00000380591","5",38.63,689,"BTF3","BTF3-002",1,"q13.2",1237
"15950","ENSG00000134717","ENST00000313334","1",41.19,91408,"BTF3L4","BTF3L4-001",1,"p32.3",4703
"15958","ENSG00000118903","ENST00000426582","13",43.97,NA,"BTF3P11","BTF3P11-001",1,"q22.3",477
"15959","ENSG00000133639","ENST00000256015","12",47.85,694,"BTG1","BTG1-001",-1,"q21.33",2448
"15962","ENSG00000159388","ENST00000290551","1",53.33,7832,"BTG2","BTG2-001",1,"q32.1",2712
"15963","ENSG00000154640","ENST00000339775","21",37.74,10950,"BTG3","BTG3-001",-1,"q21.1",1485
"15970","ENSG00000137707","ENST00000525791","11",37.15,54766,"BTG4","BTG4-002",-1,"q23.1",1394
"15972","ENSG00000010671","ENST00000308731","X",42.94,695,"BTK","BTK-006",-1,"q22.1",2579
"15989","ENSG00000186265","ENST00000334529","3",38.47,151888,"BTLA","BTLA-001",-1,"q13.2",3213
"15993","ENSG00000124557","ENST00000244513","6",45.57,696,"BTN1A1","BTN1A1-001",1,"p22.2",2895
"15997","ENSG00000112763","ENST00000429381","6",45.32,11120,"BTN2A1","BTN2A1-003",1,"p22.2",3113
"16003","ENSG00000124508","ENST00000356709","6",45.78,10385,"BTN2A2","BTN2A2-001",1,"p22.2",3590
"16019","ENSG00000124549","ENST00000466808","6",46.61,54718,"BTN2A3P","BTN2A3P-001",1,"p22.2",2559
"16031","ENSG00000026950","ENST00000082468","6",44.46,11119,"BTN3A1","BTN3A1-003",1,"p22.2",3442
"16042","ENSG00000186470","ENST00000356386","6",44.35,11118,"BTN3A2","BTN3A2-001",1,"p22.2",3017
"16061","ENSG00000111801","ENST00000480110","6",44.07,10384,"BTN3A3","BTN3A3-003",1,"p22.2",4547
"16128","ENSG00000204290","ENST00000454136","6",42.02,56244,"BTNL2","BTNL2-001",-1,"p21.32",1460
"16151","ENSG00000168903","ENST00000342868","5",43.2,10917,"BTNL3","BTNL3-001",1,"q35.3",2440
"16152","ENSG00000113303","ENST00000231229","5",40.46,79908,"BTNL8","BTNL8-001",1,"q35.3",2229
"16163","ENSG00000165810","ENST00000327705","5",49.92,153579,"BTNL9","BTNL9-001",1,"q35.3",3500
"16173","ENSG00000166167","ENST00000370187","10",38.96,8945,"BTRC","BTRC-001",1,"q24.32",6134
"16191","ENSG00000169679","ENST00000535254","2",38.24,699,"BUB1","BUB1-201",-1,"q13",3532
"16193","ENSG00000156970","ENST00000287598","15",38.74,701,"BUB1B","BUB1B-001",1,"q15.1",3725
"16203","ENSG00000154473","ENST00000368865","10",38.34,9184,"BUB3","BUB3-001",1,"q26.13",2731
"16211","ENSG00000137656","ENST00000260210","11",41.56,84811,"BUD13","BUD13-001",-1,"q23.3",2196
"16212","ENSG00000106245","ENST00000403633","7",48.46,8896,"BUD31","BUD31-002",1,"q22.1",1139
"16221","ENSG00000112276","ENST00000314641","6",40.62,11149,"BVES","BVES-003",-1,"q21",5567
"16226","ENSG00000203808","ENST00000369122","6",39.74,154442,"BVES-AS1","BVES-AS1-001",1,"q21",1716
"16228","ENSG00000112578","ENST00000230340","6",48.76,705,"BYSL","BYSL-001",1,"p21.1",2029
"16244","ENSG00000005379","ENST00000355701","17",57.85,9256,"BZRAP1","BZRAP1-201",-1,"q22",7626
"16248","ENSG00000082153","ENST00000409600","2",41.96,9689,"BZW1","BZW1-001",1,"q33.1",3383
"16264","ENSG00000136261","ENST00000480517","7",37.77,28969,"BZW2","BZW2-002",1,"p21.1",2101
"16272","ENSG00000165507","ENST00000298295","10",57.22,11067,"C10orf10","C10orf10-001",-1,"q11.21",2120
"16275","ENSG00000214688","ENST00000441508","10",55.39,414152,"C10orf105","C10orf105-201",-1,"q22.1",4837
"16276","ENSG00000183346","ENST00000330194","10",35.14,219621,"C10orf107","C10orf107-001",1,"q21.2",1685
"16281","ENSG00000148655","ENST00000496424","10",40.89,83938,"C10orf11","C10orf11-012",1,"q22.2",3923
"16292","ENSG00000176236","ENST00000378207","10",48.17,221060,"C10orf111","C10orf111-001",-1,"p13",1714
"16294","ENSG00000204683","ENST00000529198","10",39.22,387638,"C10orf113","C10orf113-002",-1,"p12.31",614
"16296","ENSG00000165813","ENST00000369287","10",37.11,55088,"C10orf118","C10orf118-006",-1,"q25.3",7245
"16303","ENSG00000155640","ENST00000286067","10",45.71,26148,"C10orf12","C10orf12-001",1,"q24.1",4542
"16305","ENSG00000183559","ENST00000329446","10",46.74,399814,"C10orf120","C10orf120-001",-1,"q26.13",1064
"16306","ENSG00000204161","ENST00000374156","10",47.39,170371,"C10orf128","C10orf128-001",-1,"q11.23",2070
"16314","ENSG00000173124","ENST00000327739","10",39.78,142827,"C10orf129","C10orf129-002",1,"q23.33",2307
"16320","ENSG00000173088","ENST00000423344","10",39.09,100127889,"C10orf131","C10orf131-002",1,"q24.1",1241
"16325","ENSG00000107815","ENST00000370228","10",52.35,56652,"C10orf2","C10orf2-002",1,"q24.31",3175
"16326","ENSG00000165511","ENST00000298298","10",44.41,220979,"C10orf25","C10orf25-001",-1,"q11.21",3078
"16327","ENSG00000166275","ENST00000339834","10",41.69,119032,"C10orf32","C10orf32-001",1,"q24.32",2422
"16331","ENSG00000171224","ENST00000373279","10",56.19,219738,"C10orf35","C10orf35-001",1,"q22.1",1062
"16333","ENSG00000235931","ENST00000521074","10",36.65,NA,"C10orf40","C10orf40-002",-1,"q21.2",4329
"16336","ENSG00000178645","ENST00000374113","10",43.9,282966,"C10orf53","C10orf53-001",1,"q11.23",2415
"16340","ENSG00000107738","ENST00000394957","10",53.85,64115,"C10orf54","C10orf54-001",-1,"q22.1",4689
"16343","ENSG00000222047","ENST00000409178","10",51.61,414236,"C10orf55","C10orf55-001",-1,"q22.2",2513
"16345","ENSG00000203942","ENST00000370640","10",56.49,414157,"C10orf62","C10orf62-001",1,"q24.2",1241
"16347","ENSG00000179133","ENST00000323327","10",41.65,256815,"C10orf67","C10orf67-001",-1,"p12.2",2799
"16348","ENSG00000177354","ENST00000374144","10",49.98,118461,"C10orf71","C10orf71-001",1,"q11.23",5230
"16352","ENSG00000120029","ENST00000370033","10",42.35,79591,"C10orf76","C10orf76-001",-1,"q24.32",4119
"16359","ENSG00000262564","ENST00000585690","HG311_PATCH",49.61,143379,"C10orf82","C10orf82-002",-1,"q25.3",1791
"16364","ENSG00000119965","ENST00000368891","10",36.24,80007,"C10orf88","C10orf88-002",-1,"q26.13",2991
"16376","ENSG00000154493","ENST00000284694","10",43.16,118611,"C10orf90","C10orf90-201",-1,"q26.2",3076
"16380","ENSG00000180066","ENST00000392630","10",64.88,170393,"C10orf91","C10orf91-001",1,"q26.3",1846
"16382","ENSG00000120055","ENST00000239125","10",67.6,79946,"C10orf95","C10orf95-002",-1,"q24.32",1469
"16383","ENSG00000188373","ENST00000372126","10",48.37,387695,"C10orf99","C10orf99-001",1,"q23.1",888
"16386","ENSG00000137720","ENST00000260276","11",42.92,64776,"C11orf1","C11orf1-001",1,"q23.1",2885
"16396","ENSG00000176029","ENST00000326053","11",49.88,56673,"C11orf16","C11orf16-001",-1,"p15.4",1908
"16401","ENSG00000110665","ENST00000381153","11",60.61,29125,"C11orf21","C11orf21-001",-1,"p15.5",2956
"16405","ENSG00000171067","ENST00000304271","11",52.05,53838,"C11orf24","C11orf24-001",-1,"q13.2",2063
"16424","ENSG00000158636","ENST00000529032","11",37.68,56946,"C11orf30","C11orf30-001",1,"q13.5",6848
"16434","ENSG00000211450","ENST00000533321","11",51.76,280636,"C11orf31","C11orf31-002",1,"q12.1",1454
"16439","ENSG00000185522","ENST00000329451","11",67.09,256329,"C11orf35","C11orf35-001",-1,"p15.5",2084
"16443","ENSG00000171987","ENST00000307616","11",43.44,143501,"C11orf40","C11orf40-001",-1,"p15.4",654
"16444","ENSG00000180878","ENST00000316375","11",46.27,160298,"C11orf42","C11orf42-001",1,"p15.4",1142
"16445","ENSG00000174370","ENST00000310799","11",52.14,219833,"C11orf45","C11orf45-001",-1,"q24.3",3624
"16451","ENSG00000162194","ENST00000431002","11",52.45,102288414,"C11orf48","C11orf48-004",-1,"q12.3",2915
"16483","ENSG00000149179","ENST00000395460","11",41.37,79096,"C11orf49","C11orf49-006",1,"p11.2",1916
"16499","ENSG00000149300","ENST00000278601","11",44.29,91894,"C11orf52","C11orf52-001",1,"q23.1",1141
"16506","ENSG00000150750","ENST00000280325","11",41.41,341032,"C11orf53","C11orf53-001",1,"q23.1",1205
"16507","ENSG00000182919","ENST00000528288","11",41.12,28970,"C11orf54","C11orf54-001",1,"q21",4094
"16522","ENSG00000150776","ENST00000532163","11",40.81,55216,"C11orf57","C11orf57-003",1,"q23.1",3739
"16547","ENSG00000110696","ENST00000531658","11",38.23,10944,"C11orf58","C11orf58-003",1,"p15.1",4258
"16553","ENSG00000109944","ENST00000227349","11",40.51,79864,"C11orf63","C11orf63-201",1,"q24.1",2910
"16555","ENSG00000166323","ENST00000527531","11",38.99,160140,"C11orf65","C11orf65-003",-1,"q22.3",2683
"16561","ENSG00000175573","ENST00000438576","11",61.82,83638,"C11orf68","C11orf68-001",-1,"q13.1",1619
"16564","ENSG00000137691","ENST00000434758","11",39.98,85016,"C11orf70","C11orf70-001",1,"q22.1",2193
"16569","ENSG00000180425","ENST00000325636","11",39.15,54494,"C11orf71","C11orf71-001",-1,"q23.2",652
"16570","ENSG00000149196","ENST00000533986","11",37.86,51501,"C11orf73","C11orf73-002",1,"q14.2",1694
"16585","ENSG00000166352","ENST00000532470","11",37.36,119710,"C11orf74","C11orf74-004",1,"p12",930
"16604","ENSG00000173715","ENST00000360962","11",42.75,79703,"C11orf80","C11orf80-202",1,"q13.2",2323
"16610","ENSG00000165490","ENST00000533655","11",39.78,220042,"C11orf82","C11orf82-001",1,"q14.1",3533
"16619","ENSG00000204922","ENST00000531323","11",52.86,790955,"C11orf83","C11orf83-001",1,"q12.3",2288
"16621","ENSG00000168005","ENST00000294244","11",52.9,144097,"C11orf84","C11orf84-001",1,"q13.1",2024
"16627","ENSG00000168070","ENST00000530735","11",45.13,283129,"C11orf85","C11orf85-001",-1,"q13.1",2046
"16631","ENSG00000173237","ENST00000308963","11",59.9,254439,"C11orf86","C11orf86-001",1,"q13.2",1187
"16632","ENSG00000185742","ENST00000327419","11",44.7,399947,"C11orf87","C11orf87-001",1,"q22.3",5884
"16634","ENSG00000183644","ENST00000529167","11",36.92,399949,"C11orf88","C11orf88-002",1,"q23.1",3099
"16637","ENSG00000205177","ENST00000379011","11",53.99,100131378,"C11orf91","C11orf91-001",-1,"p13",811
"16640","ENSG00000234776","ENST00000449465","11",62.22,143678,"C11orf94","C11orf94-001",-1,"p11.2",369
"16644","ENSG00000188070","ENST00000433688","11",61.1,NA,"C11orf95","C11orf95-201",-1,"q13.1",5582
"16645","ENSG00000187479","ENST00000528572","11",53.45,387763,"C11orf96","C11orf96-001",1,"p11.2",1834
"16648","ENSG00000139637","ENST00000548845","12",51.21,60314,"C12orf10","C12orf10-004",1,"q13.13",1369
"16658","ENSG00000151135","ENST00000280756","12",38.27,90488,"C12orf23","C12orf23-002",1,"q23.3",3362
"16674","ENSG00000133641","ENST00000548511","12",36.21,91298,"C12orf29","C12orf29-002",1,"q21.32",3079
"16676","ENSG00000180861","ENST00000318426","12",44.21,NA,"C12orf36","C12orf36-001",-1,"p13.1",2750
"16681","ENSG00000134548","ENST00000256969","12",38.5,80763,"C12orf39","C12orf39-001",1,"p12.1",1845
"16688","ENSG00000047621","ENST00000261250","12",36.55,57102,"C12orf4","C12orf4-001",-1,"p13.32",3826
"16699","ENSG00000180116","ENST00000468200","12",36.44,283461,"C12orf40","C12orf40-001",1,"q12",3061
"16701","ENSG00000179088","ENST00000547347","12",38.03,374470,"C12orf42","C12orf42-004",-1,"q23.3",2090
"16718","ENSG00000157895","ENST00000445832","12",48.21,64897,"C12orf43","C12orf43-001",-1,"q24.31",2533
"16731","ENSG00000123395","ENST00000336854","12",51.45,60673,"C12orf44","C12orf44-001",1,"q13.13",1439
"16737","ENSG00000151131","ENST00000552951","12",39.77,121053,"C12orf45","C12orf45-001",1,"q23.3",1131
"16740","ENSG00000111412","ENST00000261318","12",43.55,79794,"C12orf49","C12orf49-001",-1,"q24.22",2801
"16745","ENSG00000078237","ENST00000179259","12",40.43,57103,"C12orf5","C12orf5-001",1,"p13.32",1361
"16750","ENSG00000165805","ENST00000551944","12",35.95,160419,"C12orf50","C12orf50-001",-1,"q21.32",3889
"16758","ENSG00000177627","ENST00000314014","12",43.83,121273,"C12orf54","C12orf54-201",1,"q13.11",887
"16759","ENSG00000185306","ENST00000543942","12",41.68,115749,"C12orf56","C12orf56-008",-1,"q14.2",3242
"16769","ENSG00000111678","ENST00000544681","12",52.58,113246,"C12orf57","C12orf57-004",1,"p13.31",980
"16782","ENSG00000182993","ENST00000527783","12",38.55,144608,"C12orf60","C12orf60-002",1,"p12.3",2870
"16784","ENSG00000221949","ENST00000408887","12",55.64,283416,"C12orf61","C12orf61-001",-1,"q14.1",1684
"16790","ENSG00000130921","ENST00000543139","12",47.41,91574,"C12orf65","C12orf65-003",1,"q24.31",3733
"16793","ENSG00000174206","ENST00000311915","12",39.91,144577,"C12orf66","C12orf66-003",-1,"q14.2",2698
"16797","ENSG00000177875","ENST00000316554","12",60.28,387856,"C12orf68","C12orf68-001",1,"q13.11",2344
"16798","ENSG00000214700","ENST00000429849","12",46.88,728858,"C12orf71","C12orf71-001",-1,"p11.23",957
"16800","ENSG00000204954","ENST00000378090","12",41.85,728568,"C12orf73","C12orf73-001",-1,"q23.3",1738
"16811","ENSG00000214215","ENST00000544406","12",42.79,338809,"C12orf74","C12orf74-002",1,"q22",2184
"16813","ENSG00000235162","ENST00000443585","12",41.95,387882,"C12orf75","C12orf75-001",1,"q23.3",1366
"16826","ENSG00000174456","ENST00000548191","12",45.82,400073,"C12orf76","C12orf76-007",-1,"q24.11",2204
"16827","ENSG00000226397","ENST00000549828","12",43.36,196415,"C12orf77","C12orf77-001",-1,"p12.1",1516
"16830","ENSG00000197595","ENST00000356049","13",47.21,400165,"C13orf35","C13orf35-001",1,"q34",2241
"16831","ENSG00000133935","ENST00000256319","14",44.19,11161,"C14orf1","C14orf1-001",-1,"q24.3",2633
"16832","ENSG00000100557","ENST00000216445","14",39.97,55195,"C14orf105","C14orf105-001",-1,"q22.3",3082
"16843","ENSG00000179933","ENST00000319074","14",47.07,55017,"C14orf119","C14orf119-001",1,"q11.2",3654
"16845","ENSG00000227051","ENST00000555004","14",47.78,101929186,"C14orf132","C14orf132-001",1,"q32.2",7774
"16855","ENSG00000170270","ENST00000306954","14",43.35,84520,"C14orf142","C14orf142-001",-1,"q32.12",1154
"16871","ENSG00000133943","ENST00000518868","14",46.93,80017,"C14orf159","C14orf159-007",1,"q32.11",3075
"16892","ENSG00000087302","ENST00000261700","14",35.82,51637,"C14orf166","C14orf166-001",1,"q22.1",1080
"16902","ENSG00000100565","ENST00000484640","14",47.2,145497,"C14orf166B","C14orf166B-002",1,"q24.3",1886
"16907","ENSG00000255242","ENST00000531973","14",58.61,NA,"C14orf169","C14orf169-001",1,"q24.3",2428
"16908","ENSG00000176605","ENST00000325812","14",46.02,283598,"C14orf177","C14orf177-001",1,"q32.2",1284
"16911","ENSG00000197734","ENST00000355883","14",42.44,283579,"C14orf178","C14orf178-001",1,"q24.3",642
"16915","ENSG00000184601","ENST00000557649","14",62.78,400258,"C14orf180","C14orf180-002",1,"q32.33",2551
"16922","ENSG00000214900","ENST00000529902","14",46.01,283551,"C14orf182","C14orf182-004",-1,"q21.3",4279
"16923","ENSG00000168260","ENST00000305273","14",45.14,196913,"C14orf183","C14orf183-001",-1,"q21.3",975
"16928","ENSG00000156411","ENST00000553430","14",47.77,9556,"C14orf2","C14orf2-002",-1,"q32.33",1659
"16936","ENSG00000186960","ENST00000399387","14",37.43,NA,"C14orf23","C14orf23-003",1,"q12",1575
"16942","ENSG00000179476","ENST00000555826","14",36.63,122525,"C14orf28","C14orf28-002",1,"q21.2",3498
"16945","ENSG00000139971","ENST00000267485","14",40.15,145407,"C14orf37","C14orf37-001",-1,"q23.1",6495
"16951","ENSG00000179008","ENST00000321731","14",37.01,317761,"C14orf39","C14orf39-001",-1,"q23.1",2813
"16957","ENSG00000246223","ENST00000502187","14",43.13,NA,"C14orf64","C14orf64-002",-1,"q32.2",2455
"16968","ENSG00000140104","ENST00000549240","14",53.3,122616,"C14orf79","C14orf79-007",1,"q32.33",2503
"16987","ENSG00000185347","ENST00000551538","14",66,283643,"C14orf80","C14orf80-019",1,"q32.33",4437
"17010","ENSG00000100802","ENST00000299088","14",45.71,60686,"C14orf93","C14orf93-001",-1,"q11.2",2361
"17034","ENSG00000156206","ENST00000286732","15",41.65,161502,"C15orf26","C15orf26-001",1,"q25.1",1631
"17035","ENSG00000169758","ENST00000388942","15",47.97,101930395,"C15orf27","C15orf27-001",1,"q24.2",2520
"17045","ENSG00000183643","ENST00000333334","15",44.05,145858,"C15orf32","C15orf32-001",1,"q26.1",1749
"17047","ENSG00000259642","ENST00000560255","15",60.33,NA,"C15orf37","C15orf37-001",1,"q25.1",2082
"17048","ENSG00000242498","ENST00000357484","15",52.4,348110,"C15orf38","C15orf38-001",-1,"q26.1",2670
"17051","ENSG00000250021","ENST00000398333","15",45.41,100526783,"C15orf38-AP3S2","C15orf38-AP3S2-001",-1,"q26.1",2439
"17057","ENSG00000167173","ENST00000360639","15",58.35,56905,"C15orf39","C15orf39-001",1,"q24.2",4517
"17071","ENSG00000169609","ENST00000505341","15",44.6,123207,"C15orf40","C15orf40-003",-1,"q25.2",1881
"17087","ENSG00000186073","ENST00000566677","15",37.44,84529,"C15orf41","C15orf41-006",1,"q14",5843
"17090","ENSG00000167014","ENST00000340827","15",37.5,145645,"C15orf43","C15orf43-001",1,"q21.1",1281
"17095","ENSG00000166920","ENST00000344300","15",44.33,84419,"C15orf48","C15orf48-001",1,"q21.1",875
"17098","ENSG00000188549","ENST00000382688","15",58.79,388115,"C15orf52","C15orf52-003",-1,"q15.1",5021
"17104","ENSG00000175779","ENST00000318792","15",47.17,400359,"C15orf53","C15orf53-001",1,"q14",2043
"17105","ENSG00000175746","ENST00000318578","15",38.71,400360,"C15orf54","C15orf54-001",1,"q14",3078
"17107","ENSG00000176753","ENST00000319503","15",58.63,644809,"C15orf56","C15orf56-001",-1,"q15.1",2129
"17112","ENSG00000128891","ENST00000559291","15",45.99,90416,"C15orf57","C15orf57-010",-1,"q15.1",6131
"17123","ENSG00000205363","ENST00000569673","15",55.45,388135,"C15orf59","C15orf59-001",-1,"q24.1",2204
"17127","ENSG00000183324","ENST00000331090","15",38.4,283677,"C15orf60","C15orf60-001",1,"q24.1",927
"17129","ENSG00000189227","ENST00000342683","15",40.83,145853,"C15orf61","C15orf61-001",1,"q23",1400
"17133","ENSG00000188277","ENST00000344320","15",58.67,643338,"C15orf62","C15orf62-002",1,"q15.1",2485
"17134","ENSG00000161992","ENST00000409413","16",68.26,146325,"C16orf11","C16orf11-001",1,"p13.3",2216
"17138","ENSG00000130731","ENST00000448973","16",67.82,84326,"C16orf13","C16orf13-008",-1,"p13.3",1710
"17148","ENSG00000221819","ENST00000408886","16",55.63,750,"C16orf3","C16orf3-001",-1,"q24.3",994
"17149","ENSG00000166780","ENST00000300006","16",45.91,89927,"C16orf45","C16orf45-001",1,"p13.11",2404
"17160","ENSG00000166455","ENST00000378611","16",43.5,123775,"C16orf46","C16orf46-002",-1,"q23.2",1857
"17165","ENSG00000185716","ENST00000542527","16",39.3,101930115,"C16orf52","C16orf52-006",1,"p12.2",4360
"17185","ENSG00000185905","ENST00000329410","16",56.72,101929877,"C16orf54","C16orf54-001",-1,"p11.2",2585
"17188","ENSG00000140688","ENST00000327237","16",51.18,64755,"C16orf58","C16orf58-001",-1,"p11.2",2793
"17203","ENSG00000162062","ENST00000569994","16",62.04,80178,"C16orf59","C16orf59-003",1,"p13.3",2156
"17213","ENSG00000103544","ENST00000438132","16",45.1,57020,"C16orf62","C16orf62-003",1,"p12.3",3855
"17239","ENSG00000125149","ENST00000219139","16",47.85,80262,"C16orf70","C16orf70-001",1,"q22.1",2865
"17250","ENSG00000166246","ENST00000586256","16",52.73,146562,"C16orf71","C16orf71-003",1,"p13.3",3705
"17251","ENSG00000182831","ENST00000327827","16",42.03,29035,"C16orf72","C16orf72-001",1,"p13.2",5953
"17254","ENSG00000154102","ENST00000602583","16",53.1,404550,"C16orf74","C16orf74-006",-1,"q24.1",1237
"17259","ENSG00000166152","ENST00000299191","16",42.25,123970,"C16orf78","C16orf78-001",1,"q12.1",1068
"17261","ENSG00000070761","ENST00000562622","16",44.93,29105,"C16orf80","C16orf80-002",-1,"q21",1605
"17267","ENSG00000234186","ENST00000505035","16",55.84,NA,"C16orf82","C16orf82-001",1,"p12.1",2459
"17269","ENSG00000159761","ENST00000459925","16",64.38,388284,"C16orf86","C16orf86-003",1,"q22.1",1719
"17275","ENSG00000155330","ENST00000394806","16",37.09,388272,"C16orf87","C16orf87-002",-1,"q11.2",6640
"17282","ENSG00000153446","ENST00000315997","16",47.99,146556,"C16orf89","C16orf89-001",-1,"p13.3",1872
"17288","ENSG00000215131","ENST00000399645","16",62.79,646174,"C16orf90","C16orf90-001",-1,"p13.3",929
"17291","ENSG00000174109","ENST00000310355","16",57.7,283951,"C16orf91","C16orf91-201",-1,"p13.3",1071
"17293","ENSG00000167194","ENST00000300575","16",59.69,146378,"C16orf92","C16orf92-001",1,"p11.2",895
"17302","ENSG00000196118","ENST00000544487","16",54.9,90835,"C16orf93","C16orf93-004",-1,"p11.2",2114
"17308","ENSG00000260456","ENST00000562840","16",47.91,100506581,"C16orf95","C16orf95-006",-1,"q24.2",1650
"17313","ENSG00000205832","ENST00000444310","16",50.9,342346,"C16orf96","C16orf96-001",1,"p13.3",3823
"17314","ENSG00000212734","ENST00000391428","17",51.35,388327,"C17orf100","C17orf100-001",1,"p13.1",1821
"17315","ENSG00000197322","ENST00000357754","17",49.4,400591,"C17orf102","C17orf102-001",-1,"q12",3997
"17316","ENSG00000154035","ENST00000468196","17",58.51,256302,"C17orf103","C17orf103-001",-1,"p11.2",4925
"17319","ENSG00000180336","ENST00000409122","17",40.16,284071,"C17orf104","C17orf104-002",1,"q21.31",4604
"17326","ENSG00000231256","ENST00000449302","17",43.62,284067,"C17orf105","C17orf105-001",1,"q21.31",3753
"17329","ENSG00000205710","ENST00000381365","17",62.9,100130311,"C17orf107","C17orf107-001",1,"p13.2",3199
"17330","ENSG00000181013","ENST00000321691","17",49.46,284083,"C17orf47","C17orf47-001",-1,"q22",2123
"17333","ENSG00000258315","ENST00000549857","17",58.07,124944,"C17orf49","C17orf49-002",1,"p13.1",2343
"17342","ENSG00000154768","ENST00000285023","17",54.86,146853,"C17orf50","C17orf50-001",1,"q12",1018
"17348","ENSG00000212719","ENST00000391411","17",41.98,339263,"C17orf51","C17orf51-001",-1,"p11.2",7914
"17356","ENSG00000125319","ENST00000319977","17",50.23,78995,"C17orf53","C17orf53-002",1,"q21.31",2725
"17362","ENSG00000263085","ENST00000577131","HG747_PATCH",49.59,284018,"C17orf58","C17orf58-003",-1,"q24.2",1654
"17367","ENSG00000196544","ENST00000389017","17",65.71,54785,"C17orf59","C17orf59-001",-1,"p13.1",1913
"17372","ENSG00000178927","ENST00000585044","17",60.43,79415,"C17orf62","C17orf62-007",-1,"q25.3",4327
"17411","ENSG00000141371","ENST00000269127","17",45.51,124773,"C17orf64","C17orf64-001",1,"q23.2",950
"17413","ENSG00000172653","ENST00000462028","17",47.22,256957,"C17orf66","C17orf66-002",-1,"q12",2608
"17430","ENSG00000214226","ENST00000397861","17",44.82,339210,"C17orf67","C17orf67-001",-1,"q22",2013
"17434","ENSG00000185504","ENST00000443656","17",61.6,80233,"C17orf70","C17orf70-002",-1,"q25.3",3822
"17446","ENSG00000224383","ENST00000412177","17",59.72,92340,"C17orf72","C17orf72-001",1,"q23.3",3127
"17453","ENSG00000184560","ENST00000333870","17",62.23,201243,"C17orf74","C17orf74-001",1,"p13.1",1651
"17456","ENSG00000108666","ENST00000577809","17",44.91,64149,"C17orf75","C17orf75-001",-1,"q11.2",1642
"17469","ENSG00000182352","ENST00000392620","17",43.41,146723,"C17orf77","C17orf77-001",1,"q25.1",2525
"17472","ENSG00000167230","ENST00000300618","17",42.96,284099,"C17orf78","C17orf78-001",1,"q12",1862
"17481","ENSG00000141219","ENST00000359042","17",44.1,55028,"C17orf80","C17orf80-201",1,"q25.1",3635
"17482","ENSG00000187013","ENST00000335108","17",70.85,388407,"C17orf82","C17orf82-001",1,"q23.2",1530
"17484","ENSG00000074356","ENST00000575815","17",43.79,55421,"C17orf85","C17orf85-002",-1,"p13.2",4096
"17492","ENSG00000224877","ENST00000573090","17",58.49,284184,"C17orf89","C17orf89-005",1,"q25.3",741
"17496","ENSG00000179294","ENST00000325814","17",64.24,100170841,"C17orf96","C17orf96-001",-1,"q12",3227
"17499","ENSG00000187624","ENST00000360127","17",52.18,400566,"C17orf97","C17orf97-001",1,"p13.3",1839
"17503","ENSG00000214556","ENST00000398575","17",50.36,388381,"C17orf98","C17orf98-001",-1,"q12",632
"17507","ENSG00000187997","ENST00000451352","17",52.25,100141515,"C17orf99","C17orf99-002",1,"q25.3",2404
"17510","ENSG00000141428","ENST00000592875","18",42.68,83608,"C18orf21","C18orf21-001",1,"q12.2",1581
"17518","ENSG00000152242","ENST00000282059","18",40.58,147339,"C18orf25","C18orf25-001",1,"q21.1",5454
"17521","ENSG00000177576","ENST00000318240","18",43.24,497661,"C18orf32","C18orf32-002",-1,"q21.1",1128
"17524","ENSG00000231824","ENST00000434239","18",39.39,642597,"C18orf42","C18orf42-001",-1,"p11.31",575
"17527","ENSG00000166845","ENST00000300091","18",34.77,162681,"C18orf54","C18orf54-001",1,"q21.2",5237
"17531","ENSG00000176912","ENST00000323813","18",42.36,494514,"C18orf56","C18orf56-001",-1,"p11.32",844
"17532","ENSG00000206043","ENST00000579455","18",36.67,644041,"C18orf63","C18orf63-001",1,"q22.3",5127
"17533","ENSG00000141452","ENST00000269221","18",45.1,29919,"C18orf8","C18orf8-001",1,"q11.2",2162
"17547","ENSG00000074842","ENST00000262947","19",54.74,56005,"C19orf10","C19orf10-001",-1,"p13.3",1018
"17550","ENSG00000131943","ENST00000323670","19",50.81,83636,"C19orf12","C19orf12-001",-1,"q12",2464
"17557","ENSG00000177025","ENST00000314391","19",45.79,147685,"C19orf18","C19orf18-001",-1,"q13.43",915
"17561","ENSG00000228300","ENST00000485191","19",64.69,55009,"C19orf24","C19orf24-004",1,"p13.3",1653
"17564","ENSG00000119559","ENST00000436106","19",62.65,148223,"C19orf25","C19orf25-003",-1,"p13.3",2584
"17577","ENSG00000099625","ENST00000590083","19",70.01,255057,"C19orf26","C19orf26-001",-1,"p13.3",4261
"17583","ENSG00000167644","ENST00000588605","19",65.49,64073,"C19orf33","C19orf33-002",1,"q13.2",520
"17586","ENSG00000188305","ENST00000342063","19",59.98,374872,"C19orf35","C19orf35-001",-1,"p13.3",2564
"17589","ENSG00000214212","ENST00000397820","19",49.77,255809,"C19orf38","C19orf38-001",1,"p13.2",1223
"17593","ENSG00000131944","ENST00000588258","19",49.22,91442,"C19orf40","C19orf40-001",1,"q13.11",2298
